ts,final_label,rf_label,rf_conf,if_score,route,unsup_verdict,thr_in,thr_out,conf_gate,is_partial,src_ip,src_port,dst_ip,dst_port,latency_ms
1757676059.532330,Benign,Benign,0.910000,0.381589,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.217,20530,10.128.0.5,22,
1757676063.000954,Benign,Benign,1.000000,0.302379,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,193.46.255.217,56890,
1757676073.008596,Benign,Benign,1.000000,0.302379,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,193.46.255.217,58866,
1757676075.012989,Benign,Benign,1.000000,0.029493,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51714,142.250.152.95,443,
1757676079.014075,Benign,Benign,1.000000,0.337616,rf_confident,outlier,0.379100,0.379100,0.750,1,78.128.114.126,54536,10.128.0.5,3389,
1757676081.019902,Benign,Benign,1.000000,0.302744,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,193.46.255.217,20530,
1757676085.021236,Benign,Benign,1.000000,0.240404,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757676085.055924,Benign,Benign,1.000000,0.226884,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757676087.070680,Benign,Benign,0.990000,0.398144,rf_confident,inlier,0.389098,0.389098,0.750,0,103.246.42.72,40014,10.128.0.5,22,
1757676105.552775,Unknown/Anomaly,Benign,0.680000,0.289185,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757676115.033581,Benign,Benign,1.000000,0.378544,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757676115.068074,Benign,Benign,1.000000,0.381411,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757676115.106085,Benign,Benign,1.000000,0.361341,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,42730,74.125.202.95,443,
1757676120.961397,Benign,Benign,1.000000,0.039547,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,51714,142.250.152.95,443,
1757676139.049384,Benign,Benign,0.850000,0.357263,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,35.235.244.32,33207,
1757676142.449600,Benign,Benign,0.940000,0.315932,rf_confident,outlier,0.389098,0.389098,0.750,0,35.235.244.32,33207,10.128.0.5,22,
